label	text
1	Here, we present the draft genome sequence for Corynebacterium coyleae UMB8490, isolated from the catheterized urine of a female with overactive bladder symptoms.
1	This study was designed to test whether the Cronobacter sakazakii infection-impaired contextual learning and memory are mediated by the activation  of the complement system; subsequent activation of inflammatory signals leads to  alternations in serotonin transporter (SERT).
1	Experiments in a mouse model recapitulated the ability of recovery-associated bacteria (Bacteroides thetaiotaomicron and Bifidobacterium adolescentis) to promote recovery with synergistic effects, providing a boost of two orders of magnitude to microbial abundance in early time points and faster maturation of microbial diversity.
1	Bifidobacterium longum, one of the main microorganisms in the human gut, is used  as an adjunct to lactic acid starter cultures or sold as a probiotic product.
1	Rapid Increase of CTX-M-Producing Shigella sonnei Isolates in Switzerland Due to  Spread of Common Plasmids and International Clones.
0	Propionibacterium freudenreichii CIRM-BIA 129 (P. freudenreichii wild type, WT) is a probiotic bacterium, which exerts immunomodulatory effects.
1	The 5 most commonly isolated organisms were Acinetobacter pittii, Enterobacter cloacae, Micrococcus luteus, Staphylococcus epidermidis, and Staphylococcus hominis.
0	The multifactorial processes and novel mechanisms have been identified in S. sonnei, that are collectively playing apart a substantial role in increasing its prevalence, while replacing the S. flexneri and other Gram-negative gut pathogens niche occupancy.
0	eCollection 2019 Dec.  Enzymatic hydrolysis of Opuntia ficus-indica cladode by Acinetobacter pittii and  alcohol fermentation by Kluyveromyces marxianus: pH, temperature and microorganism effect.
0	Comparative analysis of microbial community structure between healthy and Aeromonas veronii-infected Yangtze finless porpoise.
1	G. haemolysans, but not  G. morbillorum, harbor a gene cluster potentially encoding a polysaccharidic capsule.
1	The  study evaluated the effects of liquid and powdered forms of polyclonal antibody preparation (PAP) against Streptococcus bovis and Fusobacterium necrophorum on rumen fermentation parameters in ruminally cannulated non-lactating dairy cows that were adapted or unadapted to a high concentrate diet.
0	The exopolysaccharide product produced by L. garvieae C47 possesses valuable health benefits and has the ability to improve the weak structure of fermented camel milk.
1	Bacterial cultures revealed Staphylococcus epidermidis, Corynebacterium accolens, Curvularia species and Pseudomonas putida A current literature search failed to find other published cases of P. putida nasal infections.
0	Strain sets of L. curvatus and L. sakei were employed as starters in a fermented sausage model and their abundancy upon fermentation was determined by strain-specific MALDI-TOF MS identification.
1	In vitro antibacterial and cellular experiments showed that S. aureus growth, biofilm formation, and induction of interleukin (IL)-1α and IL-6 secretion from HaCaT cells were significantly inhibited by Klebsiella oxytoca, Kocuria rhizophila, and Staphylococcus epidermidis culture supernatants (p < 0.05).
1	(#)Contributed equally  The Staphylococcus intermedius group (SIG) is a collection of coagulase-positive  staphylococci consisting of four distinct species, namely, Staphylococcus cornubiensis, Staphylococcus delphini, Staphylococcus intermedius, and Staphylococcus pseudintermedius SIG members are animal pathogens and rare causes  of human infection.
0	Antagonistic activity by Stenotrophomonas maltophilia strain GCC_19W2, P. aeruginosa strain GCC_19W3 and strains of Achromobacter restricts the growth of other microorganisms by producing some bactericidal substances.
0	Methicillin-resistant Staphylococcus aureus (MRSA) is an important cause of ventilator-associated pneumonia (VAP).
0	An exopolysaccharide (EPS) producer slimy-mucoid type colony was isolated from sourdough and identified as Weissella cibaria MED17.
1	C. minuta was later shown in one study to be part of the most heritable taxonomic group in the  human gut microbiome and to be enriched in people with low body mass index (BMI).
1	"The results confirm the presence of multi-antibiotic-resistant Aeromonas caviae strains with virulence properties as  ""high-risk isolates"" in treated wastewater."
1	), bacteria (Melissococcus plutonius Paenibacillus larvae), and microsporidia  (Nosema apis and Nosema ceranae).
1	Fatal Necrotizing Soft-Tissue Infection Caused by Clostridium tetani in an Injecting Drug User: A Case Report.
1	These data also update the molecular phylogeny of C. sordellii, indicating a possible pathogenic  clade in the environment that is distinct from currently identified clades.
1	The A. veronii strain MS-17-88 genome comprised 5,178,226-bp with 58.6% G+C, and it encoded several AMR elements, including imiS, ampS, mcr-7.1, mcr-3, catB2, catB7, catB1, floR, vat(F), tet(34), tet(35), tet(E), dfrA3, and tetR.
1	The Antibacterial Activity and Mechanism of Action of Luteolin Against Trueperella pyogenes.
0	We propose to unite the two genera under the name Phytobacter with the type species P. diazotrophicus and reclassify M. massiliensis as P. massiliensis comb.
0	Finally, the alcohol aldehyde dehydrogenase gene adhE1 from Clostridium acetobutylicum ATCC 824 was introduced into the strain to enable butanol production at low pH, in coordination with solvent fermentation of C. beijerinckii in consortium.
1	Results: In animals treated with both vancomycin and Salmonella, the levels of segmented filamentous bacteria (SFB) increased while Akkermansia muciniphila and  Faecalibacterium prausnitzii decreased.
0	Chemical synthesis of glycans up to a 128-mer relevant to the O-antigen of Bacteroides vulgatus.
1	The B. cereus 0-9 genome also encodes a YmdB-like protein, which has measureable phosphodiesterase activity, and 72.35% sequence identity to YmdB protein of B. subtilis 168.
1	This study investigated the growth behavior of the co-culture of the succinate-specific utilizer P. faecium and the succinogenic gut commensal Bacteroides thetaiotaomicron.
1	The potential for inoculating Lactobacillus animalis and Enterococcus faecium alone or in combination using commercial in ovo technology without negatively impacting hatch and post-hatch performance.
